key,ja,file,line
components.原料選定から製造工程まで一貫した品質管理体制を構築しお客様に安心してお召し上がりいただける商品をお届けします,"原料選定から製造工程まで、一貫した品質管理体制を構築し、お客様に安心してお召し上がりいただける商品をお届けします。",src/components/CompanyPhilosophy.tsx,74
components.技術革新,"技術革新",src/components/CompanyPhilosophy.tsx,81
components.伝統の技術を継承しながら最新の技術導入によりより良い商品の開発と製造効率の向上を図ります,"伝統の技術を継承しながら、最新の技術導入により、より良い商品の開発と製造効率の向上を図ります。",src/components/CompanyPhilosophy.tsx,84
components.社会貢献,"社会貢献",src/components/CompanyPhilosophy.tsx,91
components.地域社会との調和を図り環境に配慮した事業活動を通じて持続可能な社会の実現に貢献します,"地域社会との調和を図り、環境に配慮した事業活動を通じて、持続可能な社会の実現に貢献します。",src/components/CompanyPhilosophy.tsx,94
components.人材育成,"人材育成",src/components/CompanyPhilosophy.tsx,101
components.従業員一人ひとりの成長を支援し働きがいのある職場環境の整備に努めます,"従業員一人ひとりの成長を支援し、働きがいのある職場環境の整備に努めます。",src/components/CompanyPhilosophy.tsx,104
components.お名前は必須項目です,"お名前は必須項目です",src/components/ContactForm.tsx,39
components.メールアドレスは必須項目です,"メールアドレスは必須項目です",src/components/ContactForm.tsx,43
components.メールアドレスの形式が正しくありません,"メールアドレスの形式が正しくありません",src/components/ContactForm.tsx,45
components.お問い合わせ内容は必須項目です,"お問い合わせ内容は必須項目です",src/components/ContactForm.tsx,49
components.お問い合わせ内容,"お問い合わせ内容:",src/components/ContactForm.tsx,75
components.件名なし,"件名なし",src/components/ContactForm.tsx,78
components.送信エラー,"送信エラー:",src/components/ContactForm.tsx,92
components.送信完了,"送信完了",src/components/ContactForm.tsx,106
components.お問い合わせいただきありがとうございます,"お問い合わせいただき、ありがとうございます。",src/components/ContactForm.tsx,107
components.内容を確認後担当者よりご連絡いたします,"内容を確認後、担当者よりご連絡いたします。",src/components/ContactForm.tsx,108
components.新しいお問い合わせ,"新しいお問い合わせ",src/components/ContactForm.tsx,114
components.お名前,"お名前",src/components/ContactForm.tsx,125
components.山田_太郎,"山田 太郎",src/components/ContactForm.tsx,139
components.メールアドレス,"メールアドレス",src/components/ContactForm.tsx,147
components.件名,"件名",src/components/ContactForm.tsx,169
components.商品について,"商品について",src/components/ContactForm.tsx,179
components.お問い合わせ内容,"お問い合わせ内容",src/components/ContactForm.tsx,184
components.お問い合わせ内容をご記入ください,"お問い合わせ内容をご記入ください",src/components/ContactForm.tsx,198
components.送信中...,"送信中...",src/components/ContactForm.tsx,216
components.送信する,"送信する",src/components/ContactForm.tsx,220
components.特集記事,"特集記事",src/components/FeatureBanner.tsx,38
components.100年を超える歴史と伝統,"100年を超える歴史と伝統",src/components/FeatureBanner.tsx,41
components.大正10年の創業から現代まで変わらぬ想いで紡いできた私たちの物語と_これからの100年に向けた新たな挑戦をご紹介します,"大正10年の創業から現代まで。変わらぬ想いで紡いできた私たちの物語と、 これからの100年に向けた新たな挑戦をご紹介します。",src/components/FeatureBanner.tsx,44
components.詳しく読む,"詳しく読む",src/components/FeatureBanner.tsx,51
components.製造工程のこだわり,"製造工程のこだわり",src/components/FeatureBanner.tsx,73
components.伝統技術と最新設備が生み出す品質,"伝統技術と最新設備が生み出す品質",src/components/FeatureBanner.tsx,74
components.採用情報,"採用情報",src/components/FeatureBanner.tsx,90
components.共に未来を築く仲間を募集しています,"共に未来を築く仲間を募集しています",src/components/FeatureBanner.tsx,91
components.国産みかん加工ライン,"国産みかん加工ライン",src/components/Features.tsx,5
components.国産もも加工ライン,"国産もも加工ライン",src/components/Features.tsx,6
components.国産トマト加工ライン,"国産トマト加工ライン",src/components/Features.tsx,7
components.国産へのこだわり,"国産へのこだわり",src/components/Features.tsx,15
components.安心安全でおいしい商品をお届けするため契約栽培などの取組みを行っています,"安心・安全でおいしい商品をお届けするため、契約栽培などの取組みを行っています。",src/components/Features.tsx,19
components.良い製品は良い原料からしか作ることはできません,"良い製品は良い原料からしか作ることはできません",src/components/Features.tsx,29
components.長年農産缶詰を作り続けてきた私たちは誰よりもそのことをよく理解しています,"長年農産缶詰を作り続けてきた私たちは誰よりもそのことをよく理解しています。",src/components/Features.tsx,32
components.みかんトマトももをはじめとする国産原料製品それぞれ単に原料の売買にとどまらず良質な原料を安定して作っていくためにはどうしたら良いかを生産者とともに考え行動し信頼関係を培うところから私たちの製品づくりは始まっています,"みかん・トマト・ももをはじめとする国産原料製品。それぞれ単に原料の売買にとどまらず、良質な原料を安定して作っていくためにはどうしたら良いかを生産者とともに考え行動し、信頼関係を培うところから私たちの製品づくりは始まっています。",src/components/Features.tsx,38
components.images農家.avif,"/images/農家.avif",src/components/Features.tsx,45
components.みかん農家での栽培風景,"みかん農家での栽培風景",src/components/Features.tsx,46
components.国産原料調達能力,"国産原料調達能力",src/components/Features.tsx,66
components.各種国産農産原料について長年の実績信頼に基づいて産地や市場との強固なつながりを持ち強力な調達能力を有しています,"各種国産農産原料について、長年の実績・信頼に基づいて産地や市場との強固なつながりを持ち、強力な調達能力を有しています。",src/components/Features.tsx,71
components.生産者との指定品種苗の栽培契約やみかんの自社栽培など先進的な取組みにより中長期的に安定した原料調達ができる体制を整えています,"生産者との指定品種苗の栽培契約や、みかんの自社栽培など、先進的な取組みにより中長期的に安定した原料調達ができる体制を整えています。",src/components/Features.tsx,75
components.みかん自社栽培,"みかん自社栽培",src/components/Features.tsx,86
components.みかんの自社栽培グループ共同プロジェクト農園2021年から開始,"みかんの自社栽培(グループ共同プロジェクト農園)2021年から開始",src/components/Features.tsx,89
components.当社グループ会社のトーアスと共同で2021年3月よりみかんの苗の定植を開始しました,"当社グループ会社のトーアス㈱と共同で、2021年3月よりみかんの苗の定植を開始しました。",src/components/Features.tsx,94
components.場所,"場所:",src/components/Features.tsx,100
components.愛知県半田市,"愛知県半田市",src/components/Features.tsx,101
components.農地面積,"農地面積:",src/components/Features.tsx,104
components.収穫開始,"収穫開始:",src/components/Features.tsx,108
components.2028年予定,"2028年予定",src/components/Features.tsx,109
components.年間収穫量,"年間収穫量:",src/components/Features.tsx,112
components.400t目標,"400t(目標)",src/components/Features.tsx,113
components.プロジェクトの目的,"プロジェクトの目的",src/components/Features.tsx,118
components.加工適性のある品種での原料安定確保,"・加工適性のある品種での原料安定確保",src/components/Features.tsx,120
components.地元での地産地消の取り組みや食育への活用,"・地元での地産地消の取り組みや食育への活用",src/components/Features.tsx,121
components.シーズンパック,"シーズンパック",src/components/Features.tsx,132
components.大切に育てられた各種国産農産原料はフレッシュな状態のまま加工しております,"大切に育てられた各種国産農産原料は、フレッシュな状態のまま加工しております。",src/components/Features.tsx,135
components.4月,"4月",src/components/Features.tsx,144
components.桃,"桃",src/components/Features.tsx,146
components.5月,"5月",src/components/Features.tsx,152
components.6月,"6月",src/components/Features.tsx,160
components.トマト,"トマト",src/components/Features.tsx,163
components.7月,"7月",src/components/Features.tsx,168
components.8月,"8月",src/components/Features.tsx,176
components.9月,"9月",src/components/Features.tsx,184
components.10月,"10月",src/components/Features.tsx,192
components.みかん,"みかん",src/components/Features.tsx,196
components.11月,"11月",src/components/Features.tsx,200
components.12月,"12月",src/components/Features.tsx,208
components.1月,"1月",src/components/Features.tsx,216
components.2月,"2月",src/components/Features.tsx,224
components.3月,"3月",src/components/Features.tsx,232
components.黄桃加工,"黄桃加工",src/components/Features.tsx,244
components.トマト加工,"トマト加工",src/components/Features.tsx,248
components.みかん加工,"みかん加工",src/components/Features.tsx,252
components.農産加工能力,"農産加工能力",src/components/Features.tsx,261
components.独自ノウハウの設備製造ラインを品目別に保有し国産農産加工品を安定的に生産できる体制を整えています,"独自ノウハウの設備・製造ラインを品目別に保有し、国産農産加工品を安定的に生産できる体制を整えています。",src/components/Features.tsx,264
components.農産加工ライン,"農産加工ライン",src/components/Features.tsx,274
components.処理能力日,"処理能力/日",src/components/Features.tsx,275
components.シーズン計,"シーズン計",src/components/Features.tsx,276
components.食品安全,"食品安全",src/components/Features.tsx,303
components.images品質管理.avif,"/images/品質管理.avif",src/components/Features.tsx,310
components.徹底した品質管理で安心安全な商品をお届け,"徹底した品質管理で安心・安全な商品をお届け",src/components/Features.tsx,311
components.私たちはお客様に確かな品質安心安全な製品をお届けするため製品の品質に対して高い意識を持って取組み原料にこだわり品質にこだわって製品づくりをしています,"私たちは、お客様に「確かな品質」「安心・安全」な製品をお届けするため、製品の品質に対して高い意識を持って取組み、原料にこだわり、品質にこだわって製品づくりをしています。",src/components/Features.tsx,318
components.またお客様の声に耳を傾け安心安全を最優先事項とし速やかに社内展開して品質の向上にも役立てています,"また、お客様の声に耳を傾け「安心・安全」を最優先事項とし、速やかに社内展開して品質の向上にも役立てています。",src/components/Features.tsx,322
components.品質管理,"品質管理",src/components/Features.tsx,336
components.images品質管理２.avif,"/images/品質管理２.avif",src/components/Features.tsx,343
components.農産加工の豊富な技術力と製造実績,"農産加工の豊富な技術力と製造実績",src/components/Features.tsx,344
components.私たちは農産加工の豊富な技術力と製造実績があります安全性や栄養成分はもとより安定した製品の品質を確保するため厳格な品質検査徹底した品質管理のもとすべての製品の安全性を確立し安心安全な製品をお届けしています,"私たちは、農産加工の豊富な技術力と製造実績があります。安全性や栄養成分はもとより、安定した製品の品質を確保するため、厳格な品質検査、徹底した品質管理のもと、すべての製品の安全性を確立し、安心・安全な製品をお届けしています。",src/components/Features.tsx,351
components.製品の製造においては衛生管理状態のチェックをし各製造工程が規定された手順通り実施されたかを確認しています更に官能検査理化学検査微生物検査等の各種検査を実施し製品規格に適合しているものが出荷される仕組みを構築しています,"製品の製造においては衛生管理状態のチェックをし、各製造工程が規定された手順通り実施されたかを確認しています。更に官能検査、理化学検査、微生物検査等の各種検査を実施し、製品規格に適合しているものが出荷される仕組みを構築しています。",src/components/Features.tsx,355
components.みかんがつなぐ,"みかんがつなぐ、",src/components/FoodTableSection.tsx,24
components.日常の食卓へ,"日常の食卓へ",src/components/FoodTableSection.tsx,25
components.毎日の食卓に安心できる美味しさを_私たちの果実は家族の笑顔をつなぐ架け橋です,"毎日の食卓に、安心できる美味しさを。 私たちの果実は、家族の笑顔をつなぐ架け橋です。",src/components/FoodTableSection.tsx,31
components.学校給食から家庭の食卓まで全国の皆様に愛され続けている_岡本食品の商品一つひとつに込められた想いが_日々の暮らしに彩りを添えます,"学校給食から家庭の食卓まで、全国の皆様に愛され続けている 岡本食品の商品。一つひとつに込められた想いが、 日々の暮らしに彩りを添えます。",src/components/FoodTableSection.tsx,36
components.私たちの取り組みを見る,"私たちの取り組みを見る",src/components/FoodTableSection.tsx,47
components.安心美味しさ笑顔を詰めてお届けします100年を超える歴史の中で培われた技術と想いで国産原料にこだわった安心安全な食品をお届けします,"安心・美味しさ・笑顔を詰めてお届けします。100年を超える歴史の中で培われた技術と想いで、国産原料にこだわった安心・安全な食品をお届けします。",src/components/Footer.tsx,18
components.457-0802_愛知県名古屋市南区要町3-17,"〒457-0802 愛知県名古屋市南区要町3-17",src/components/Footer.tsx,24
components.製品情報,"製品情報",src/components/Footer.tsx,31
components.商品一覧,"商品一覧",src/components/Footer.tsx,33
components.みかん缶詰,"みかん缶詰",src/components/Footer.tsx,34
components.黄桃缶詰,"黄桃缶詰",src/components/Footer.tsx,35
components.冷凍フルーツ,"冷凍フルーツ",src/components/Footer.tsx,36
components.企業情報,"企業情報",src/components/Footer.tsx,42
components.お知らせ,"お知らせ",src/components/Footer.tsx,45
components.2024_岡本食品株式会社._all_rights_reserved.,"© 2024 岡本食品株式会社. All rights reserved.",src/components/Footer.tsx,54
components.プライバシーポリシー,"プライバシーポリシー",src/components/Footer.tsx,61
components.弊社は大正10年5月にトマトソース加工業者として創業しました以来みかんもも等のフルーツ加工品のトップブランドとして親しまれ学校給食をはじめ各方面から幅広くご愛顧を頂戴しております,"弊社は大正10年5月にトマトソース加工業者として創業しました。以来、みかん、もも等のフルーツ加工品のトップブランドとして親しまれ、学校給食をはじめ各方面から幅広くご愛顧を頂戴しております。",src/components/Greeting.tsx,19
components.時代とともに変化する食の流れをとらえ原料の仕入れから加工流通に至るまで日夜改善努力を続けています,"時代とともに変化する“食”の流れをとらえ、原料の仕入れから加工、流通に至るまで日夜改善努力を続けています。",src/components/Greeting.tsx,23
components.images岡本食品マーク.avif,"/images/岡本食品マーク.avif",src/components/Header.tsx,21
components.岡本食品株式会社のロゴマーク,"岡本食品株式会社のロゴマーク",src/components/Header.tsx,22
components.imagesみかんフリー.avif,"/images/みかんフリー.avif",src/components/Hero.tsx,16
components.新鮮なみかんと農園の風景,"新鮮なみかんと農園の風景",src/components/Hero.tsx,17
components.1921年大正10年5月,"1921年(大正10年)5月",src/components/History.tsx,4
components.創業,"創業",src/components/History.tsx,5
components.名古屋市南区鳴尾町にて岡本千代松がトマトソース加工業を創業,"名古屋市南区鳴尾町にて岡本千代松がトマトソース加工業を創業",src/components/History.tsx,6
components.1946年昭和21年,"1946年(昭和21年)",src/components/History.tsx,9
components.事業拡大,"事業拡大",src/components/History.tsx,10
components.トマトケチャップソース類に加えて各種ジャム類魚類缶詰の製造に着手,"トマトケチャップ、ソース類に加えて各種ジャム類、魚類缶詰の製造に着手",src/components/History.tsx,11
components.1953年昭和28年1月,"1953年(昭和28年)1月",src/components/History.tsx,14
components.株式会社化,"株式会社化",src/components/History.tsx,15
components.株式会社に組織変更資本金1000千円,"株式会社に組織変更（資本金1,000千円）",src/components/History.tsx,16
components.1957年昭和32年5月,"1957年(昭和32年)5月",src/components/History.tsx,19
components.工場移転,"工場移転",src/components/History.tsx,20
components.現所在地に本社及び工場移転果実野菜缶詰に本格的に着手する,"現所在地に本社及び工場移転。果実、野菜缶詰に本格的に着手する",src/components/History.tsx,21
components.1966年昭和41年,"1966年(昭和41年)",src/components/History.tsx,24
components.新工場建設,"新工場建設",src/components/History.tsx,25
components.新工場を同敷地内に建設資本金12000千円に増資,"新工場を同敷地内に建設。資本金12,000千円に増資",src/components/History.tsx,26
components.1977年昭和52年6月,"1977年(昭和52年)6月",src/components/History.tsx,29
components.工場拡張,"工場拡張",src/components/History.tsx,30
components.鉄筋コンクリート2f建新工場を現所在地に建設資本金24000千円に増資,"鉄筋コンクリート2F建新工場を現所在地に建設。資本金24,000千円に増資",src/components/History.tsx,31
components.1983年昭和58年10月,"1983年(昭和58年)10月",src/components/History.tsx,34
components.自動化推進,"自動化推進",src/components/History.tsx,35
components.マッシュルーム製造自動ライン完成塩蔵戻し国内最先発,"マッシュルーム製造自動ライン完成（塩蔵戻し、国内最先発）",src/components/History.tsx,36
components.1985年昭和60年9月,"1985年(昭和60年)9月",src/components/History.tsx,39
components.設備近代化,"設備近代化",src/components/History.tsx,40
components.コンピュータ制御大型回転レトルト殺菌機導入,"コンピュータ制御大型回転レトルト殺菌機導入",src/components/History.tsx,41
components.1988年昭和63年9月,"1988年(昭和63年)9月",src/components/History.tsx,44
components.施設拡充,"施設拡充",src/components/History.tsx,45
components.3f建新工場4f建本社事務所を現所在地に建設,"3F建新工場、4F建本社事務所を現所在地に建設",src/components/History.tsx,46
components.1992年平成4年9月,"1992年(平成4年)9月",src/components/History.tsx,49
components.レトルトパウチ自動充填ライン導入,"レトルトパウチ自動充填ライン導入",src/components/History.tsx,51
components.1999年平成11年9月,"1999年(平成11年)9月",src/components/History.tsx,54
components.品質管理強化,"品質管理強化",src/components/History.tsx,55
components.ｘ線異物除去機導入,"Ｘ線異物除去機導入",src/components/History.tsx,56
components.2006年平成18年11月,"2006年(平成18年)11月",src/components/History.tsx,59
components.冷凍事業開始,"冷凍事業開始",src/components/History.tsx,60
components.連続式食品急速凍結iqfライン導入冷凍フルーツ冷凍野菜類の製造を開始,"連続式食品急速凍結（IQF）ライン導入。冷凍フルーツ、冷凍野菜類の製造を開始",src/components/History.tsx,61
components.2016年平成28年4月,"2016年(平成28年)4月",src/components/History.tsx,64
components.新体制,"新体制",src/components/History.tsx,65
components.岡本嘉久_代表取締役に就任,"岡本嘉久　代表取締役に就任",src/components/History.tsx,66
components.2016年平成28年10月,"2016年(平成28年)10月",src/components/History.tsx,69
components.北工場建設,"北工場建設",src/components/History.tsx,70
components.鉄骨造2f建新工場北工場を本社隣接地に建設,"鉄骨造2F建新工場（北工場）を本社隣接地に建設",src/components/History.tsx,71
components.2019年平成31年4月,"2019年(平成31年)4月",src/components/History.tsx,74
components.グループ連携強化,"グループ連携強化",src/components/History.tsx,75
components.レトルトパウチ自動充填ライン導入トーアス名古屋工場として稼働,"レトルトパウチ自動充填ライン導入。トーアス㈱名古屋工場として稼働",src/components/History.tsx,76
components.2021年令和3年4月,"2021年(令和3年)4月",src/components/History.tsx,79
components.みかんライン更新,"みかんライン更新",src/components/History.tsx,80
components.みかん酸処理ライン全面更新,"みかん酸処理ライン全面更新",src/components/History.tsx,81
components.2022年令和4年2月,"2022年(令和4年)2月",src/components/History.tsx,84
components.デザート事業開始,"デザート事業開始",src/components/History.tsx,85
components.カップデザート製造ライン導入トーアス名古屋工場として稼働,"カップデザート製造ライン導入。トーアス㈱名古屋工場として稼働",src/components/History.tsx,86
components.2024年令和6年3月,"2024年(令和6年)3月",src/components/History.tsx,89
components.jfs-b認証取得,"JFS-B認証取得",src/components/History.tsx,90
components.jfs-b規格の適合認証を取得,"JFS-B規格の適合認証を取得",src/components/History.tsx,91
components.100年を超える歴史,"100年を超える歴史",src/components/History.tsx,153
components.大正10年の創業から現在まで時代の変化に対応しながら技術革新を続け_お客様に愛される商品を提供し続けています,"大正10年の創業から現在まで、時代の変化に対応しながら技術革新を続け、 お客様に愛される商品を提供し続けています。",src/components/History.tsx,154
components.グループ共同プロジェクト農園として2021年から開始トーアスと共同でみかんの苗を定植しています,"グループ共同プロジェクト農園として2021年から開始。トーアス㈱と共同でみかんの苗を定植しています。",src/components/ImageCarousel.tsx,13
components.images工場写真.avif,"/images/工場写真.avif",src/components/ImageCarousel.tsx,18
components.製造工場,"製造工場",src/components/ImageCarousel.tsx,19
components.最新設備と伝統技術が融合した製造現場,"最新設備と伝統技術が融合した製造現場",src/components/ImageCarousel.tsx,20
components.imagesみかんレーン.avif,"/images/みかんレーン.avif",src/components/ImageCarousel.tsx,32
components.効率的な製造ラインで品質と生産性を両立,"効率的な製造ラインで品質と生産性を両立",src/components/ImageCarousel.tsx,34
components.自然の恵みから工場まで,"自然の恵みから工場まで、",src/components/ImageCarousel.tsx,60
components.私たちの想いをお伝えします,"私たちの想いをお伝えします",src/components/ImageCarousel.tsx,61
components.言語を選択,"言語を選択",src/components/LanguageSwitcher.tsx,30
components.私たちの理念と方針,"私たちの理念と方針",src/components/Mission.tsx,13
components.理念方針,"理念・方針",src/components/Mission.tsx,22
components.みかん契約農場での栽培風景,"みかん契約農場での栽培風景",src/components/Mission.tsx,54
components.契約農場での栽培風景,"契約農場での栽培風景",src/components/Mission.tsx,61
components.場所,"場所：",src/components/Mission.tsx,92
components.農地面積,"農地面積：",src/components/Mission.tsx,93
components.13バンテリンドーム名古屋の約2.7倍,"13㏊（バンテリンドーム名古屋の約2.7倍）",src/components/Mission.tsx,93
components.収穫開始,"収穫開始：",src/components/Mission.tsx,96
components.年間収穫量目標,"年間収穫量（目標）：",src/components/Mission.tsx,97
components.加工適性のある品種での原料安定確保,"加工適性のある品種での原料安定確保",src/components/Mission.tsx,105
components.地元での地産地消の取り組みや食育への活用,"地元での地産地消の取り組みや食育への活用",src/components/Mission.tsx,109
components.jfs-b規格の取得証明書,"JFS-B規格の取得証明書",src/components/NewsCard.tsx,27
components.続きを読む,"続きを読む",src/components/NewsCard.tsx,62
components.jfs-b規格の適合認証を取得しました,"JFS-B規格の適合認証を取得しました",src/components/NewsSection.tsx,9
